DATE,AKPCPI
1981-01-01,17091.0
1982-01-01,19424.0
1983-01-01,19478.0
1984-01-01,19701.0
1985-01-01,20593.0
1986-01-01,20331.0
1987-01-01,19688.0
1988-01-01,20420.0
1989-01-01,22133.0
1990-01-01,23213.0
1991-01-01,23510.0
1992-01-01,24240.0
1993-01-01,25036.0
1994-01-01,25713.0
1995-01-01,26399.0
1996-01-01,26953.0
1997-01-01,28185.0
1998-01-01,29255.0
1999-01-01,29951.0
2000-01-01,32044.0
2001-01-01,33626.0
2002-01-01,34756.0
2003-01-01,35996.0
2004-01-01,37016.0
2005-01-01,39075.0
2006-01-01,41157.0
2007-01-01,43906.0
2008-01-01,47869.0
2009-01-01,47258.0
2010-01-01,49652.0
2011-01-01,52569.0
2012-01-01,53708.0
2013-01-01,52812.0
2014-01-01,55867.0
2015-01-01,57575.0
2016-01-01,56278.0
2017-01-01,57278.0
2018-01-01,59783.0
2019-01-01,61639.0
2020-01-01,63391.0
2021-01-01,67138.0
